#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC31_PLASMIDVR20F_1LOW3_DESCSUPERCOIL_TX	Pos	CH	22	8	36.4	PEAK
PBEH2_BCBC31_PLASMIDVR20F_2MED1_DESCSUPERCOIL_TX	Pos	CH	181	92	50.8	PEAK
PBEH2_BCBC31_PLASMIDVR20F_2MED2_DESCSUPERCOIL_TX	Pos	CH	103	58	56.3	PEAK
PBEH2_BCBC31_PLASMIDVR20F_2MED3_DESCSUPERCOIL_TX	Pos	CH	164	83	50.6	PEAK
PBEH2_BCBC31_PLASMIDVR20F_3HGH1_DESCSUPERCOIL_TX	Pos	CH	124	71	57.3	PEAK
PBEH2_BCBC31_PLASMIDVR20F_3HGH2_DESCSUPERCOIL_TX	Pos	CH	149	90	60.4	PEAK
PBEH2_BCBC31_PLASMIDVR20F_3HGH3_DESCSUPERCOIL_TX	Pos	CH	94	49	52.1	PEAK
PBEH2_BCBC32_PLASMIDVR20F_1LOW1_DESCSUPERCOIL_TX_RH1	Pos	CH	196	79	40.3	PEAK
PBEH2_BCBC32_PLASMIDVR20F_1LOW2_DESCSUPERCOIL_TX_RH1	Pos	CH	45	12	26.7	PEAK
PBEH2_BCBC32_PLASMIDVR20F_1LOW3_DESCSUPERCOIL_TX_RH1	Pos	CH	30	15	50	PEAK
PBEH2_BCBC32_PLASMIDVR20F_2MED1_DESCSUPERCOIL_TX_RH1	Pos	CH	310	96	31	PEAK
PBEH2_BCBC32_PLASMIDVR20F_2MED2_DESCSUPERCOIL_TX_RH1	Pos	CH	175	63	36	PEAK
PBEH2_BCBC32_PLASMIDVR20F_2MED3_DESCSUPERCOIL_TX_RH1	Pos	CH	303	106	35	PEAK
PBEH2_BCBC32_PLASMIDVR20F_3HGH1_DESCSUPERCOIL_TX_RH1	Pos	CH	252	97	38.5	PEAK
PBEH2_BCBC32_PLASMIDVR20F_3HGH2_DESCSUPERCOIL_TX_RH1	Pos	CH	358	137	38.3	PEAK
PBEH2_BCBC32_PLASMIDVR20F_3HGH3_DESCSUPERCOIL_TX_RH1	Pos	CH	140	54	38.6	PEAK
PBEH2_BCBC33_PLASMIDVR20F_1LOW1_DESCLINEARPSII_NT	Pos	CH	840	55	6.5	PEAK
PBEH2_BCBC33_PLASMIDVR20F_1LOW2_DESCLINEARPSII_NT	Pos	CH	128	12	9.4	PEAK
PBEH2_BCBC33_PLASMIDVR20F_1LOW3_DESCLINEARPSII_NT	Pos	CH	112	5	4.5	PEAK
PBEH2_BCBC33_PLASMIDVR20F_2MED1_DESCLINEARPSII_NT	Pos	CH	1223	61	5	PEAK
PBEH2_BCBC33_PLASMIDVR20F_2MED2_DESCLINEARPSII_NT	Pos	CH	979	225	23	PEAK
PBEH2_BCBC33_PLASMIDVR20F_2MED3_DESCLINEARPSII_NT	Pos	CH	1144	111	9.7	PEAK
PBEH2_BCBC33_PLASMIDVR20F_3HGH1_DESCLINEARPSII_NT	Pos	CH	767	60	7.8	PEAK
PBEH2_BCBC33_PLASMIDVR20F_3HGH2_DESCLINEARPSII_NT	Pos	CH	1175	63	5.4	PEAK
PBEH2_BCBC33_PLASMIDVR20F_3HGH3_DESCLINEARPSII_NT	Pos	CH	609	29	4.8	PEAK
PBEH2_BCBC34_PLASMIDVR20F_1LOW1_DESCLINEARPSII_TX	Pos	CH	605	73	12.1	PEAK
PBEH2_BCBC34_PLASMIDVR20F_1LOW2_DESCLINEARPSII_TX	Pos	CH	86	13	15.1	PEAK
PBEH2_BCBC34_PLASMIDVR20F_1LOW3_DESCLINEARPSII_TX	Pos	CH	85	10	11.8	PEAK
PBEH2_BCBC34_PLASMIDVR20F_2MED1_DESCLINEARPSII_TX	Pos	CH	882	62	7	PEAK
PBEH2_BCBC34_PLASMIDVR20F_2MED2_DESCLINEARPSII_TX	Pos	CH	533	53	9.9	PEAK
PBEH2_BCBC34_PLASMIDVR20F_2MED3_DESCLINEARPSII_TX	Pos	CH	761	76	10	PEAK
PBEH2_BCBC34_PLASMIDVR20F_3HGH1_DESCLINEARPSII_TX	Pos	CH	494	31	6.3	PEAK
PBEH2_BCBC34_PLASMIDVR20F_3HGH2_DESCLINEARPSII_TX	Pos	CH	715	59	8.3	PEAK
PBEH2_BCBC34_PLASMIDVR20F_3HGH3_DESCLINEARPSII_TX	Pos	CH	516	36	7	PEAK
PBEH2_BCBC35_PLASMIDVR20F_1LOW1_DESCLINEARPSII_TX_RH1	Pos	CH	1447	19	1.3	PEAK
PBEH2_BCBC35_PLASMIDVR20F_1LOW2_DESCLINEARPSII_TX_RH1	Pos	CH	220	1	0.5	PEAK
PBEH2_BCBC35_PLASMIDVR20F_1LOW3_DESCLINEARPSII_TX_RH1	Pos	CH	164	6	3.7	PEAK
PBEH2_BCBC35_PLASMIDVR20F_2MED1_DESCLINEARPSII_TX_RH1	Pos	CH	2169	11	0.5	PEAK
PBEH2_BCBC35_PLASMIDVR20F_2MED2_DESCLINEARPSII_TX_RH1	Pos	CH	1347	13	1	PEAK
PBEH2_BCBC35_PLASMIDVR20F_2MED3_DESCLINEARPSII_TX_RH1	Pos	CH	1883	16	0.8	PEAK
PBEH2_BCBC35_PLASMIDVR20F_3HGH1_DESCLINEARPSII_TX_RH1	Pos	CH	1398	16	1.1	PEAK
PBEH2_BCBC35_PLASMIDVR20F_3HGH2_DESCLINEARPSII_TX_RH1	Pos	CH	2118	22	1	PEAK
PBEH2_BCBC35_PLASMIDVR20F_3HGH3_DESCLINEARPSII_TX_RH1	Pos	CH	1087	10	0.9	PEAK
PBEH2_BCBC36_PLASMIDPFC9_DESCLINEARAPALI_NT	Pos	CH	14	6	42.9	PEAK
PBEH2_BCBC36_PLASMIDT7INIT_VR10_DESCLINEARAPALI_NT	Pos	CH	29	5	17.2	PEAK
PBEH2_BCBC36_PLASMIDT7INIT_VR20_DESCLINEARAPALI_NT	Pos	CH	19	7	36.8	PEAK
PBEH2_BCBC37_PLASMIDPFC9_DESCLINEARAPALI_TX	Pos	CH	858	113	13.2	PEAK
PBEH2_BCBC37_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX	Pos	CH	5786	398	6.9	PEAK
PBEH2_BCBC37_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX	Pos	CH	4033	361	9	PEAK
PBEH2_BCBC38_PLASMIDPFC9_DESCLINEARAPALI_TX_RH1	Pos	CH	494	5	1	PEAK
PBEH2_BCBC38_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_RH1	Pos	CH	3631	43	1.2	PEAK
PBEH2_BCBC38_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_RH1	Pos	CH	2979	15	0.5	PEAK
PBEH2_BCBC39_PLASMIDPFC9_DESCLINEARAPALI_NT_CORPA	Pos	CH	396	25	6.3	PEAK
PBEH2_BCBC39_PLASMIDT7INIT_VR10_DESCLINEARAPALI_NT_CORPA	Pos	CH	3338	85	2.5	PEAK
PBEH2_BCBC39_PLASMIDT7INIT_VR20_DESCLINEARAPALI_NT_CORPA	Pos	CH	2847	90	3.2	PEAK
PBEH2_BCBC40_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA	Pos	CH	559	410	73.3	PEAK
PBEH2_BCBC40_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA	Pos	CH	4168	3337	80.1	PEAK
PBEH2_BCBC40_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA	Pos	CH	3742	3440	91.9	PEAK
PBEH2_BCBC41_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA_RH1	Pos	CH	1138	66	5.8	PEAK
PBEH2_BCBC41_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA_RH1	Pos	CH	5880	402	6.8	PEAK
PBEH2_BCBC41_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA_RH1	Pos	CH	4639	380	8.2	PEAK
PBEH2_BCBC42_PLASMIDPFC9_DESCLINEARAPALI_NT_CORPA_DEPROTEINZED	Pos	CH	46	19	41.3	PEAK
PBEH2_BCBC42_PLASMIDT7INIT_VR10_DESCLINEARAPALI_NT_CORPA_DEPROTEINZED	Pos	CH	170	87	51.2	PEAK
PBEH2_BCBC42_PLASMIDT7INIT_VR20_DESCLINEARAPALI_NT_CORPA_DEPROTEINZED	Pos	CH	157	99	63.1	PEAK
PBEH2_BCBC43_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED	Pos	CH	862	825	95.7	PEAK
PBEH2_BCBC43_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED	Pos	CH	21987	21933	99.8	PEAK
PBEH2_BCBC43_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED	Pos	CH	22197	22154	99.8	PEAK
PBEH2_BCBC44_PLASMIDPFC9_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED_RH1	Pos	CH	3365	384	11.4	PEAK
PBEH2_BCBC44_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED_RH1	Pos	CH	9223	877	9.5	PEAK
PBEH2_BCBC44_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_CORPA_DEPROTEINZED_RH1	Pos	CH	7798	681	8.7	PEAK
PBEH2_BCBC45_PLASMIDT7INIT_VR10_DESCSUPERCOIL_NT_COSSB	Pos	CH	788	485	61.5	PEAK
PBEH2_BCBC46_PLASMIDT7INIT_VR10_DESCSUPERCOIL_TX_COSSB	Pos	CH	23	6	26.1	PEAK
PBEH2_BCBC47_PLASMIDT7INIT_VR10_DESCSUPERCOIL_TX_POSTSSB	Pos	CH	715	288	40.3	PEAK
PBEH2_BCBC48_PLASMIDT7INIT_VR10_DESCSUPERCOIL_TX_COSSB_RH1	Pos	CH	754	296	39.3	PEAK
PBEH2_BCBC49_PLASMIDT7INIT_VR20_DESCSUPERCOIL_NT_COSSB	Pos	CH	1185	712	60.1	PEAK
PBEH2_BCBC50_PLASMIDT7INIT_VR20_DESCSUPERCOIL_TX_COSSB	Pos	CH	1372	396	28.9	PEAK
PBEH2_BCBC51_PLASMIDT7INIT_VR20_DESCSUPERCOIL_TX_POSTSSB	Pos	CH	774	246	31.8	PEAK
PBEH2_BCBC52_PLASMIDT7INIT_VR20_DESCSUPERCOIL_TX_COSSB_RH1	Pos	CH	531	234	44.1	PEAK
PBEH2_BCBC53_PLASMIDPFC9_DESCSUPERCOIL_NT_COSSB	Pos	CH	1523	317	20.8	PEAK
PBEH2_BCBC54_PLASMIDPFC9_DESCSUPERCOIL_TX_COSSB	Pos	CH	728	305	41.9	PEAK
PBEH2_BCBC55_PLASMIDPFC9_DESCSUPERCOIL_TX_POSTSSB	Pos	CH	509	264	51.9	PEAK
PBEH2_BCBC56_PLASMIDPFC9_DESCSUPERCOIL_TX_COSSB_RH1	Pos	CH	799	404	50.6	PEAK
PBEH2_BCBC57_PLASMIDPFC53_DESCSUPERCOIL_NT_COSSB	Pos	CH	25	2	8	PEAK
PBEH2_BCBC58_PLASMIDPFC53_DESCSUPERCOIL_TX_COSSB	Pos	CH	15	0	0	PEAK
PBEH2_BCBC59_PLASMIDPFC53_DESCSUPERCOIL_TX_POSTSSB	Pos	CH	6	2	33.3	PEAK
PBEH2_BCBC60_PLASMIDPFC53_DESCSUPERCOIL_TX_COSSB_RH1	Pos	CH	10	2	20	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR01_DESCSUPERCOIL_NT	Pos	CH	719	243	33.8	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR02_DESCSUPERCOIL_NT	Pos	CH	387	42	10.9	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR03_DESCSUPERCOIL_NT	Pos	CH	838	320	38.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR04_DESCSUPERCOIL_NT	Pos	CH	454	188	41.4	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR05_DESCSUPERCOIL_NT	Pos	CH	436	155	35.6	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR06_DESCSUPERCOIL_NT	Pos	CH	645	224	34.7	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR07_DESCSUPERCOIL_NT	Pos	CH	509	172	33.8	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR08_DESCSUPERCOIL_NT	Pos	CH	458	194	42.4	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR09_DESCSUPERCOIL_NT	Pos	CH	728	248	34.1	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR10_DESCSUPERCOIL_NT	Pos	CH	463	186	40.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR11_DESCSUPERCOIL_NT	Pos	CH	362	141	39	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR12_DESCSUPERCOIL_NT	Pos	CH	313	120	38.3	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR13_DESCSUPERCOIL_NT	Pos	CH	571	233	40.8	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR14_DESCSUPERCOIL_NT	Pos	CH	407	140	34.4	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR15_DESCSUPERCOIL_NT	Pos	CH	264	108	40.9	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR16_DESCSUPERCOIL_NT	Pos	CH	463	170	36.7	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR17_DESCSUPERCOIL_NT	Pos	CH	57	17	29.8	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR18_DESCSUPERCOIL_NT	Pos	CH	527	202	38.3	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR19_DESCSUPERCOIL_NT	Pos	CH	480	180	37.5	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR20_DESCSUPERCOIL_NT	Pos	CH	629	96	15.3	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR21_DESCSUPERCOIL_NT	Pos	CH	59	12	20.3	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR22_DESCSUPERCOIL_NT	Pos	CH	511	79	15.5	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR23_DESCSUPERCOIL_NT	Pos	CH	575	230	40	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR24_DESCSUPERCOIL_NT	Pos	CH	488	186	38.1	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR25_DESCSUPERCOIL_NT	Pos	CH	127	51	40.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR26_DESCSUPERCOIL_NT	Pos	CH	449	71	15.8	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR27_DESCSUPERCOIL_NT	Pos	CH	300	106	35.3	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR28_DESCSUPERCOIL_NT	Pos	CH	281	93	33.1	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR29_DESCSUPERCOIL_NT	Pos	CH	642	71	11.1	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR30_DESCSUPERCOIL_NT	Pos	CH	187	63	33.7	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR31_DESCSUPERCOIL_NT	Pos	CH	31	11	35.5	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR01_DESCSUPERCOIL_TX	Pos	CH	1559	380	24.4	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR02_DESCSUPERCOIL_TX	Pos	CH	808	79	9.8	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR03_DESCSUPERCOIL_TX	Pos	CH	1826	152	8.3	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR04_DESCSUPERCOIL_TX	Pos	CH	897	78	8.7	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR05_DESCSUPERCOIL_TX	Pos	CH	918	231	25.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR06_DESCSUPERCOIL_TX	Pos	CH	1381	372	26.9	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR07_DESCSUPERCOIL_TX	Pos	CH	1217	123	10.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR08_DESCSUPERCOIL_TX	Pos	CH	792	82	10.4	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR09_DESCSUPERCOIL_TX	Pos	CH	1725	160	9.3	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR10_DESCSUPERCOIL_TX	Pos	CH	823	239	29	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR11_DESCSUPERCOIL_TX	Pos	CH	823	240	29.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR12_DESCSUPERCOIL_TX	Pos	CH	612	173	28.3	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR13_DESCSUPERCOIL_TX	Pos	CH	1265	111	8.8	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR14_DESCSUPERCOIL_TX	Pos	CH	947	230	24.3	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR15_DESCSUPERCOIL_TX	Pos	CH	578	177	30.6	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR16_DESCSUPERCOIL_TX	Pos	CH	1001	258	25.8	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR17_DESCSUPERCOIL_TX	Pos	CH	110	26	23.6	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR18_DESCSUPERCOIL_TX	Pos	CH	1302	392	30.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR19_DESCSUPERCOIL_TX	Pos	CH	1065	323	30.3	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR20_DESCSUPERCOIL_TX	Pos	CH	1188	320	26.9	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR21_DESCSUPERCOIL_TX	Pos	CH	59	18	30.5	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR22_DESCSUPERCOIL_TX	Pos	CH	1169	131	11.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR23_DESCSUPERCOIL_TX	Pos	CH	1353	176	13	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR24_DESCSUPERCOIL_TX	Pos	CH	1100	347	31.5	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR25_DESCSUPERCOIL_TX	Pos	CH	179	45	25.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR26_DESCSUPERCOIL_TX	Pos	CH	968	99	10.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR27_DESCSUPERCOIL_TX	Pos	CH	588	61	10.4	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR28_DESCSUPERCOIL_TX	Pos	CH	654	148	22.6	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR29_DESCSUPERCOIL_TX	Pos	CH	1515	396	26.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR30_DESCSUPERCOIL_TX	Pos	CH	310	94	30.3	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR31_DESCSUPERCOIL_TX	Pos	CH	55	14	25.5	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR01_DESCSUPERCOIL_TX_RH1	Pos	CH	1635	233	14.3	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR02_DESCSUPERCOIL_TX_RH1	Pos	CH	885	375	42.4	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR03_DESCSUPERCOIL_TX_RH1	Pos	CH	1976	295	14.9	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR04_DESCSUPERCOIL_TX_RH1	Pos	CH	914	433	47.4	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR05_DESCSUPERCOIL_TX_RH1	Pos	CH	917	394	43	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR06_DESCSUPERCOIL_TX_RH1	Pos	CH	1481	644	43.5	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR07_DESCSUPERCOIL_TX_RH1	Pos	CH	1149	512	44.6	PEAK
