sample_id	plasmid	strand	call_type	filepath	read_count	Sample_ID	Experiment	Experiment_name	Flow cell	Plasmid	Plasmid Loc	Total plasmids in sample	Linear	Nick	Txn	RnaseH	Co-SSB	Post-SSB	Co-RPA	Linearization post txn	Deprotienize post Co-RPA
5	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-5_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	392	PBEH2-5	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
6	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	9791	PBEH2-6	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
6	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	9791	PBEH2-6	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
6	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	2563	PBEH2-6	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
6	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-6_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	2563	PBEH2-6	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
7	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	14836	PBEH2-7	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
7	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	14836	PBEH2-7	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
7	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	4652	PBEH2-7	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
7	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-7_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	4652	PBEH2-7	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
8	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	10931	PBEH2-8	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
8	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	10931	PBEH2-8	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
8	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	4076	PBEH2-8	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
8	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-8_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	4076	PBEH2-8	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
9	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-9_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	11750	PBEH2-9	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
9	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-9_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	2928	PBEH2-9	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
9	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-9_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	2928	PBEH2-9	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
10	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	10348	PBEH2-10	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
10	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	10348	PBEH2-10	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
10	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	2805	PBEH2-10	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
10	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-10_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	2805	PBEH2-10	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
11	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv	14921	PBEH2-11	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
11	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv	14921	PBEH2-11	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
11	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv	4036	PBEH2-11	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
11	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-11_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv	4036	PBEH2-11	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
12	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	2068	PBEH2-12	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
12	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	563	PBEH2-12	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
12	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-12_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	563	PBEH2-12	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	-	-	-	-	-	-	-
13	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	18628	PBEH2-13	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
13	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	18628	PBEH2-13	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
13	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	5012	PBEH2-13	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
13	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-13_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	5012	PBEH2-13	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
14	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	729	PBEH2-14	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
14	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	729	PBEH2-14	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
14	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	217	PBEH2-14	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
14	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-14_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	217	PBEH2-14	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
15	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	2412	PBEH2-15	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
15	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	2412	PBEH2-15	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
15	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	574	PBEH2-15	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
15	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-15_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	574	PBEH2-15	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	-	-	-	-	-	-	-
16	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	2561	PBEH2-16	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
16	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	2561	PBEH2-16	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
16	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	561	PBEH2-16	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
16	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-16_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	561	PBEH2-16	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-
17	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv	7629	PBEH2-17	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
17	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv	7629	PBEH2-17	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
17	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv	1666	PBEH2-17	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
17	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-17_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv	1666	PBEH2-17	1	Nt.BspqI induced nick experiment	A	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-
18	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	238	PBEH2-18	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-
18	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	238	PBEH2-18	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-
18	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	129	PBEH2-18	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-
18	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	129	PBEH2-18	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-
19	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-19_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	894	PBEH2-19	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	+	-	-	-	-
19	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-19_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	267	PBEH2-19	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	+	-	-	-	-
19	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-19_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	267	PBEH2-19	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	+	-	-	-	-
20	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	709	PBEH2-20	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-
20	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	709	PBEH2-20	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-
20	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	213	PBEH2-20	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-
20	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv	213	PBEH2-20	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-
21	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv	478	PBEH2-21	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	+	+	-	-	-	-
21	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv	478	PBEH2-21	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	+	+	-	-	-	-
21	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv	98	PBEH2-21	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-13	pFC9ΔNt.BspQI-13.gb	1	BsaI-v2	Nt.BspQI	+	+	+	-	-	-	-
