Sample_ID	Experiment	Experiment_name	Flow cell	Plasmid	Plasmid Loc	Total plasmids in sample	Linear	Nick	Txn	RnaseH	Co-SSB	Post-SSB	Co-RPA	Linearization post txn	Deprotienize post Co-RPA
PBEH2-23	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	-	+	-	-	-	-
PBEH2-24	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-
PBEH2-25	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-11	pFC9ΔNt.BspQI-11.gb	1	BsaI-v2	Nt.BspQI	+	+	+	-	-	-	-
PBEH2-26	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-
PBEH2-27	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	-	+	-	-	-	-
PBEH2-28	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-
PBEH2-29	2	Nick + SSB experiment	B	pFC9ΔNt.BspQI-8	pFC9ΔNt.BspQI-8.gb	1	BsaI-v2	Nt.BspQI	+	+	+	-	-	-	-
PBEH2-30	3	RNA folding / VR20 shuffle experiment	B	VR20F Mix	VR20	9	-	-	-	-	-	-	-	-	-
PBEH2-31	3	RNA folding / VR20 shuffle experiment	B	VR20F Mix	VR20	9	-	-	+	-	-	-	-	-	-
PBEH2-32	3	RNA folding / VR20 shuffle experiment	B	VR20F Mix	VR20	9	-	-	+	+	-	-	-	-	-
PBEH2-33	3	RNA folding / VR20 shuffle experiment	B	VR20F Mix	VR20	9	PsiI-v2	-	-	-	-	-	-	-	-
PBEH2-34	3	RNA folding / VR20 shuffle experiment	B	VR20F Mix	VR20	9	PsiI-v2	-	+	-	-	-	-	-	-
PBEH2-35	3	RNA folding / VR20 shuffle experiment	B	VR20F Mix	VR20	9	PsiI-v2	-	+	+	-	-	-	-	-
PBEH2-36	4	RPA experiment	A	VR10, VR20 and pFC9 mix	SSB_mix	3	ApaLI	-	-	-	-	-	-	-	-
PBEH2-37	4	RPA experiment	A	VR10, VR20 and pFC9 mix	SSB_mix	3	ApaLI	-	+	-	-	-	-	-	-
PBEH2-38	4	RPA experiment	A	VR10, VR20 and pFC9 mix	SSB_mix	3	ApaLI	-	+	+	-	-	-	-	-
PBEH2-39	4	RPA experiment	A	VR10, VR20 and pFC9 mix	SSB_mix	3	ApaLI	-	-	-	-	-	+	-	-
PBEH2-40	4	RPA experiment	A	VR10, VR20 and pFC9 mix	SSB_mix	3	ApaLI	-	+	-	-	-	+	-	-
PBEH2-41	4	RPA experiment	A	VR10, VR20 and pFC9 mix	SSB_mix	3	ApaLI	-	+	+	-	-	+	-	-
PBEH2-42	4	RPA experiment	A	VR10, VR20 and pFC9 mix	SSB_mix	3	ApaLI	-	-	-	-	-	+	-	+
PBEH2-43	4	RPA experiment	A	VR10, VR20 and pFC9 mix	SSB_mix	3	ApaLI	-	+	-	-	-	+	-	+
PBEH2-44	4	RPA experiment	A	VR10, VR20 and pFC9 mix	SSB_mix	3	ApaLI	-	+	+	-	-	+	-	+
PBEH2-45	5	Supercoiled SSB experiment	A	T7init VR-10	T7_initiation_series/T7_init_VR-10.gb	1	-	-	-	-	+	-	-	-	-
PBEH2-46	5	Supercoiled SSB experiment	A	T7init VR-10	T7_initiation_series/T7_init_VR-10.gb	1	-	-	+	-	+	-	-	-	-
PBEH2-47	5	Supercoiled SSB experiment	A	T7init VR-10	T7_initiation_series/T7_init_VR-10.gb	1	-	-	+	-	-	+	-	-	-
PBEH2-48	5	Supercoiled SSB experiment	A	T7init VR-10	T7_initiation_series/T7_init_VR-10.gb	1	-	-	+	+	+	-	-	-	-
PBEH2-49	5	Supercoiled SSB experiment	A	T7init VR-20	T7_initiation_series/T7_init_VR-20.gb	1	-	-	-	-	+	-	-	-	-
PBEH2-50	5	Supercoiled SSB experiment	A	T7init VR-20	T7_initiation_series/T7_init_VR-20.gb	1	-	-	+	-	+	-	-	-	-
PBEH2-51	5	Supercoiled SSB experiment	A	T7init VR-20	T7_initiation_series/T7_init_VR-20.gb	1	-	-	+	-	-	+	-	-	-
PBEH2-52	5	Supercoiled SSB experiment	A	T7init VR-20	T7_initiation_series/T7_init_VR-20.gb	1	-	-	+	+	+	-	-	-	-
PBEH2-53	5	Supercoiled SSB experiment	A	pFC9	pFC9.gb	1	-	-	-	-	+	-	-	-	-
PBEH2-54	5	Supercoiled SSB experiment	A	pFC9	pFC9.gb	1	-	-	+	-	+	-	-	-	-
PBEH2-55	5	Supercoiled SSB experiment	A	pFC9	pFC9.gb	1	-	-	+	-	-	+	-	-	-
PBEH2-56	5	Supercoiled SSB experiment	A	pFC9	pFC9.gb	1	-	-	+	+	+	-	-	-	-
PBEH2-57	5	Supercoiled SSB experiment	A	pFC53	pFC53.gb	1	-	-	-	-	+	-	-	-	-
PBEH2-58	5	Supercoiled SSB experiment	A	pFC53	pFC53.gb	1	-	-	+	-	+	-	-	-	-
PBEH2-59	5	Supercoiled SSB experiment	A	pFC53	pFC53.gb	1	-	-	+	-	-	+	-	-	-
PBEH2-60	5	Supercoiled SSB experiment	A	pFC53	pFC53.gb	1	-	-	+	+	+	-	-	-	-
PBEH2-61	6	T3 termination series	A	T3termsh VRmix	T3short_termination_series	31	-	-	-	-	-	-	-	-	-
PBEH2-62	6	T3 termination series	A	T3termsh VRmix	T3short_termination_series	31	-	-	+	-	-	-	-	-	-
PBEH2-63	6	T3 termination series	A	T3termsh VRmix	T3short_termination_series	31	-	-	+	+	-	-	-	-	-
PBEH2-64	6	T3 termination series	A	T3termsh VRmix	T3short_termination_series	31	ScaI	-	-	-	-	-	-	-	-
PBEH2-65	6	T3 termination series	A	T3termsh VRmix	T3short_termination_series	31	ScaI	-	+	-	-	-	-	-	-
PBEH2-66	6	T3 termination series	A	T3termsh VRmix	T3short_termination_series	31	ScaI	-	+	+	-	-	-	-	-
PBEH2-67	7	E.coli SSB experiment	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	-	-	-	-	-	-	-
PBEH2-68	7	E.coli SSB experiment	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	+	-	-	-	-	-	-
PBEH2-69	7	E.coli SSB experiment	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	+	+	-	-	-	-	-
PBEH2-70	7	E.coli SSB experiment	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	-	-	+	-	-	-	-
PBEH2-71	7	E.coli SSB experiment	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	+	-	+	-	-	-	-
PBEH2-72	7	E.coli SSB experiment	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	+	+	+	-	-	-	-
PBEH2-73	8	SSB stablilization experiment	A	pFC9	pFC9.gb	1	-	-	+	-	-	-	-	-	-
PBEH2-74	8	SSB stablilization experiment	A	pFC9	pFC9.gb	1	-	-	+	+	-	-	-	-	-
PBEH2-75	8	SSB stablilization experiment	A	pFC9	pFC9.gb	1	HindIII	-	+	-	-	-	-	+	-
PBEH2-76	8	SSB stablilization experiment	A	pFC9	pFC9.gb	1	HindIII	-	+	+	-	-	-	+	-
PBEH2-77	8	SSB stablilization experiment	A	pFC9	pFC9.gb	1	-	-	+	-	+	-	-	-	-
PBEH2-78	8	SSB stablilization experiment	A	pFC9	pFC9.gb	1	-	-	+	+	+	-	-	-	-
PBEH2-79	8	SSB stablilization experiment	A	pFC9	pFC9.gb	1	HindIII	-	+	-	+	-	-	+	-
PBEH2-80	8	SSB stablilization experiment	A	pFC9	pFC9.gb	1	HindIII	-	+	+	+	-	-	+	-
PBEH2-81	9	E.coli pol Cas9 nicked experiment	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	sgRNA8	+	-	-	-	-	-	-
PBEH2-82	9	E.coli pol Cas9 nicked experiment	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	sgRNA8	+	+	-	-	-	-	-
PBEH2-83	9	E.coli pol Cas9 nicked experiment	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	sgRNA11	+	-	-	-	-	-	-
PBEH2-84	9	E.coli pol Cas9 nicked experiment	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	sgRNA11	+	+	-	-	-	-	-
PBEH2-85	9	E.coli pol Cas9 nicked experiment	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
PBEH2-86	9	E.coli pol Cas9 nicked experiment	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
PBEH2-87	10	Updated VR mix experiment	A	VRv2 Mix	T7_initiation_series	7	-	-	+	-	-	-	-	-	-
PBEH2-88	10	Updated VR mix experiment	A	VRv2 Mix	T7_initiation_series	7	-	-	+	+	-	-	-	-	-
PBEH2-89	10	Updated VR mix experiment	A	VRv2 Mix	T7_initiation_series	7	BsaI-v2	-	+	-	-	-	-	-	-
PBEH2-90	10	Updated VR mix experiment	A	VRv2 Mix	T7_initiation_series	7	BsaI-v2	-	+	+	-	-	-	-	-
PBEH2-91	11	VR mix controls experiment	A	VR Mix	T7_initiation_series	31	-	-	-	-	-	-	-	-	-
PBEH2-92	11	VR mix controls experiment	A	VR Mix	T7_initiation_series	31	-	-	-	+	-	-	-	-	-
PBEH2-93	12	VR mix controls experiment	B	VR Mix	T7_initiation_series	31	PsiI-v2	-	-	-	-	-	-	-	-
PBEH2-94	12	VR mix controls experiment	B	VR Mix	T7_initiation_series	31	PsiI-v2	-	-	+	-	-	-	-	-
