sample_id	plasmid	description	strand	window	convert_type	filepath	call_type	bed_id
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Neg	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Neg_15_0.45_CH.PEAK.genome.bed	low	1577
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Neg	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Neg_15_0.45_CG.PEAK.genome.bed	low	2631
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Neg	15_0.45	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Neg_15_0.45_GH.PEAK.genome.bed	low	3038
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Neg	15_0.45	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Neg_15_0.45_GC.PEAK.genome.bed	low	5849
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Pos	15_0.45	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Pos_15_0.45_GC.PEAK.genome.bed	low	3029
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Pos	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Pos_15_0.45_CH.PEAK.genome.bed	low	4375
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Pos	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Pos_15_0.45_CG.PEAK.genome.bed	low	4931
1	PFC9_NTBSPQI_13	LINEARBSAI_TX	Pos	15_0.45	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC01_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_Pos_15_0.45_GH.PEAK.genome.bed	low	5410
2	PFC9_NTBSPQI_13	LINEARBSAI_TX_RH1	Pos	20_0.55	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Pos_20_0.55_CH.PEAK.genome.bed	high	539
2	PFC9_NTBSPQI_13	LINEARBSAI_TX_RH1	Pos	20_0.55	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Pos_20_0.55_CG.PEAK.genome.bed	high	552
2	PFC9_NTBSPQI_13	LINEARBSAI_TX_RH1	Neg	15_0.45	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Neg_15_0.45_GH.PEAK.genome.bed	low	2392
2	PFC9_NTBSPQI_13	LINEARBSAI_TX_RH1	Neg	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Neg_15_0.45_CG.PEAK.genome.bed	low	2808
2	PFC9_NTBSPQI_13	LINEARBSAI_TX_RH1	Neg	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Neg_15_0.45_CH.PEAK.genome.bed	low	3872
2	PFC9_NTBSPQI_13	LINEARBSAI_TX_RH1	Neg	15_0.45	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Neg_15_0.45_GC.PEAK.genome.bed	low	4744
2	PFC9_NTBSPQI_13	LINEARBSAI_TX_RH1	Pos	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Pos_15_0.45_CG.PEAK.genome.bed	low	5662
2	PFC9_NTBSPQI_13	LINEARBSAI_TX_RH1	Pos	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC02_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_RH1_Pos_15_0.45_CH.PEAK.genome.bed	low	6201
3	PFC9_NTBSPQI_13	LINEARBSAI_NT_NICKNTBSPQI13_COSSB	Neg	15_0.45	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC03_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB_Neg_15_0.45_GH.PEAK.genome.bed	low	2414
3	PFC9_NTBSPQI_13	LINEARBSAI_NT_NICKNTBSPQI13_COSSB	Neg	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC03_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB_Neg_15_0.45_CH.PEAK.genome.bed	low	3501
3	PFC9_NTBSPQI_13	LINEARBSAI_NT_NICKNTBSPQI13_COSSB	Neg	15_0.45	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC03_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB_Neg_15_0.45_GC.PEAK.genome.bed	low	5180
3	PFC9_NTBSPQI_13	LINEARBSAI_NT_NICKNTBSPQI13_COSSB	Pos	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC03_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB_Pos_15_0.45_CG.PEAK.genome.bed	low	5596
3	PFC9_NTBSPQI_13	LINEARBSAI_NT_NICKNTBSPQI13_COSSB	Pos	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC03_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB_Pos_15_0.45_CH.PEAK.genome.bed	low	6342
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Neg	20_0.55	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_20_0.55_GH.PEAK.genome.bed	high	151
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Neg	20_0.55	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_20_0.55_CH.PEAK.genome.bed	high	438
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Neg	20_0.55	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_20_0.55_CG.PEAK.genome.bed	high	658
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Neg	20_0.55	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_20_0.55_GC.PEAK.genome.bed	high	831
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Pos	20_0.55	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Pos_20_0.55_GC.PEAK.genome.bed	high	48
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Pos	20_0.55	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Pos_20_0.55_GH.PEAK.genome.bed	high	803
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Pos	20_0.55	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Pos_20_0.55_CH.PEAK.genome.bed	high	1250
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Pos	20_0.55	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Pos_20_0.55_CG.PEAK.genome.bed	high	1326
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Neg	15_0.45	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_15_0.45_GC.PEAK.genome.bed	low	2390
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Neg	15_0.45	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_15_0.45_GH.PEAK.genome.bed	low	4746
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Neg	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_15_0.45_CG.PEAK.genome.bed	low	5608
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Neg	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Neg_15_0.45_CH.PEAK.genome.bed	low	6354
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Pos	15_0.45	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Pos_15_0.45_GH.PEAK.genome.bed	low	2400
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Pos	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Pos_15_0.45_CG.PEAK.genome.bed	low	3263
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Pos	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Pos_15_0.45_CH.PEAK.genome.bed	low	3494
4	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13	Pos	15_0.45	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC04_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_Pos_15_0.45_GC.PEAK.genome.bed	low	5167
5	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13_RH1	Neg	20_0.55	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1_Neg_20_0.55_GC.PEAK.genome.bed	high	280
5	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13_RH1	Neg	20_0.55	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t55_w20_l100/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1_Neg_20_0.55_GH.PEAK.genome.bed	high	936
5	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13_RH1	Neg	15_0.45	GC	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1_Neg_15_0.45_GC.PEAK.genome.bed	low	3366
5	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13_RH1	Neg	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1_Neg_15_0.45_CH.PEAK.genome.bed	low	4053
5	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13_RH1	Neg	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1_Neg_15_0.45_CG.PEAK.genome.bed	low	5271
5	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13_RH1	Neg	15_0.45	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1_Neg_15_0.45_GH.PEAK.genome.bed	low	5738
5	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13_RH1	Pos	15_0.45	CH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1_Pos_15_0.45_CH.PEAK.genome.bed	low	1894
5	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13_RH1	Pos	15_0.45	CG	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1_Pos_15_0.45_CG.PEAK.genome.bed	low	2298
5	PFC9_NTBSPQI_13	LINEARBSAI_TX_NICKNTBSPQI13_RH1	Pos	15_0.45	GH	/group/flchedingrp/mitochi/Work/Project/Ethan/240325/5_Analysis/2_deleted/67_72_PFC8TACINIT_240406/PBEH2_240409_L1_t45_w15_l50/PEAKS_GENOME/PBEH2_bismark_bt2.bam_genePBEH2_BCBC05_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_TX_NICKNTBSPQI13_RH1_Pos_15_0.45_GH.PEAK.genome.bed	low	2726
